Product_ID,Product_name,Qty,Lead Time(days),Date,Sales,Moving_Avg_Sales,Cumulative_Sales,Month,Week,Day_of_Week,Lead_Time_Impact
1000227791/ 1000206658,SINAMICS CU320,8.0,7,2023-01-01,3,3.0,3,1,52,6,0.42857142857142855
1000252640,VSM 10 Sinamics Voltage Sensing Module ,3.0,4,2023-01-02,1,1.0,1,1,1,0,0.25
1000253341,SINAMICS S120 TERMINAL MODULE TM31,4.0,5,2023-01-03,2,2.0,2,1,1,1,0.4
1000262699,DTI Card,3.0,7,2023-01-04,1,1.0,1,1,1,2,0.14285714285714285
1000227792,"SMC30, SINAMICS SENSOR MODULE CABINET MOUNTED ",12.0,3,2023-01-05,11,11.0,11,1,1,3,3.6666666666666665
1000014336,"RELAY;SAFETY,3TK2825-1BB40",1.0,5,2023-01-06,1,1.0,1,1,1,4,0.2
1000598797,"RELAY;SAFETY,PN:3SK1121-1AB40",9.0,5,2023-01-07,8,8.0,8,1,1,5,1.6
1000132653,"RELAY,SAFETY,MM:3TK2821-1CB30",2.0,7,2023-01-08,1,1.0,1,1,1,6,0.14285714285714285
1000598788,"RELAY;SAFETY, 3SK1211-1BB40",24.0,2,2023-01-09,9,9.0,9,1,2,0,4.5
1000237996,EARTH FAULT MONITOR FOR UNDERGROUND AC AND DC SYSTEMS TO 690V - 1/N AC 230V - 3AC 0- 690V,1.0,3,2023-01-10,1,1.0,1,1,2,1,0.3333333333333333
1000305807,ENCODER; 1PH7911-1BA21-0AA0,1.0,7,2023-01-11,1,1.0,1,1,2,2,0.14285714285714285
1000303429,"TIMER RELAY,TD;DPCO,0.15-3MIN",3.0,3,2023-01-12,1,1.0,1,1,2,3,0.3333333333333333
1000236334,"OUTPUT INTERFACE TERMINAL CONTACT BLOCK,MM:3TX7002-1FB02",11.0,3,2023-01-13,1,1.0,1,1,2,4,0.3333333333333333
1000050339,"SUPPRESSION DIODE,GEGA,TYPE:3RT 1916-1DG00",24.0,5,2023-01-14,14,14.0,14,1,2,5,2.8
1000014213,"AUXILIARY CIRCUIT SWITCH,1NO,1NC,TYPE:5SX9100",5.0,3,2023-01-16,3,3.0,3,1,3,0,1.0
1000237022," OUTPUT INTERFACE TERMINAL,TWO TIER,CAT:3TX7004-1BB10",16.0,6,2023-01-17,5,5.0,5,1,3,1,0.8333333333333334
1000005129,"AUX CONTACT BLOCK, 1NO, SIEMENS",56.0,5,2023-01-18,9,9.0,9,1,3,2,1.8
1000148664,"AUX CONTACT BLOCK, 1NC, SIEMENS",0.0,2,2023-01-19,1,1.0,1,1,3,3,0.5
1000254213,"AUX CONTACT BLOCK, 1NO,S0-S3, SIEMENS",23.0,4,2023-01-20,30,30.0,30,1,3,4,7.5
1000005663,"AUX CONTACT BLOCK,TRANSVERSE, 1NO+1NC, SIEMENS",4.0,6,2023-01-21,1,1.0,1,1,3,5,0.16666666666666666
1000096435,"CONTACT BLOCK,TRANSVERSE, FRONT,1NO+1NC, ",1.0,6,2023-01-22,1,1.0,1,1,3,6,0.16666666666666666
1000323400,"CONTACT BLOCK, 2NO+2NC, SIEMENS",14.0,2,2023-01-23,8,8.0,8,1,4,0,4.0
1000456602,"CONTACT BLOCK, 1NO+1NC SIEMENS",2.0,4,2023-01-24,1,1.0,1,1,4,1,0.25
1000097408,"AUX CONTANCTOR BLOCK, 3RH1911-1GA40, 4NO,  SIEMENS",9.0,5,2023-01-25,4,4.0,4,1,4,2,0.8
1000205884,"CONTACT BLOCK,1NO+1NC,3SB54 00-0A",9.0,1,2023-01-26,9,9.0,9,1,4,3,9.0
1000146663,"ALLIED TRANSDUCER, CONVERTOR,1000 BASE X,PN:AT-G8SX",7.0,4,2023-01-27,2,2.0,2,1,4,4,0.5
1000304458,"POWER CONNECTOR, STELMORE CONVEYOR DRIVE MOTOR MODULE",6.0,2,2023-01-28,2,2.0,2,1,4,5,1.0
1000302300,"SURGE SUPPRESSOR, SIEMENS",10.0,6,2023-01-29,5,5.0,5,1,4,6,0.8333333333333334
1000130235,"SURGE SUPPRESSOR, SIEMENS",9.0,5,2023-01-30,2,3.5,7,1,5,0,0.4
1000303112,"INDICATOR,LIGHT;PN:3SB3400-1PA30",10.0,4,2023-01-31,1,1.0,1,1,5,1,0.25
1000393890,"CONNECTOR;FEMALE,46X80X70MM,PN:AS591-F",4.0,1,2023-02-02,3,3.0,3,2,5,3,3.0
1000301584,SURGE SUPPRESSOR; PN:3RT1916-1DG00,24.0,3,2023-02-03,14,14.0,14,2,5,4,4.666666666666667
1000405043,"IPD FOR SINAMICS SINGLE MOTOR MODULE INPUT: DC 675-1080V OUTPUT: 3AC 0-690V, 330A RATED POWER: 315KW CHASSIS",2.0,3,2023-02-04,1,1.0,1,2,5,5,0.3333333333333333
1000333128,"IPD FOR SINAMICS SINGLE MOTOR MODULE INPUT: DC 675-1080V OUTPUT: 3AC 0-690V, 575A RATED POWER: 560KW CHASSIS (ST-1,2, SH-1,2)
",4.0,7,2023-02-05,2,2.0,2,2,5,6,0.2857142857142857
1000333129,"IPD FOR SINAMICS SINGLE MOTOR MODULE INPUT: DC 675-1080V OUTPUT: 3AC 0-690V, 735A RATED POWER: 710KW CHASSIS",7.0,2,2023-02-06,3,3.0,3,2,6,0,1.5
1000333130," IPD FOR SINAMICS SINGLE MOTOR MODULE INPUT: DC 675-1080V OUTPUT: 3AC 0-690V, 1025A RATED POWER: 1000KW CHASSIS (RSM)",8.0,4,2023-02-07,6,6.0,6,2,6,1,1.5
